name,average_revenue_per_movie
Stan Lee,612054529
Samuel L. Jackson,199815686
Frank Welker,155742597
John Ratzenberger,322485734
"Robert Downey, Jr.",234713889
Bob Bergen,261787976
Scarlett Johansson,301645618
Andy Serkis,434213849
Benedict Cumberbatch,359276570
Alan Tudyk,375169110
Warwick Davis,623573404
Zoe Saldana,306646810
Jon Favreau,340747461
Chris Evans,327469025
Chris Pratt,374325176
Paul Bettany,406026564
Dwayne Johnson,261393798
Vin Diesel,349537371
Idris Elba,261790060
Chris Hemsworth,461026440
Don Cheadle,264147502
Tom Cruise,254803732
Bradley Cooper,304462423
Willem Dafoe,120980994
Jeremy Renner,373601258
Gwyneth Paltrow,258101839
Cate Blanchett,207990091
Tom Hanks,173495485
Liam Neeson,119803878
J.K. Simmons,130315276
Mark Ruffalo,232648508
Hugo Weaving,274495057
Tom Holland,532757479
Bill Hader,258852459
Gary Oldman,190094481
Morgan Freeman,121012773
Ian McKellen,260045326
Benedict Wong,453281799
Ralph Fiennes,177829378
Johnny Depp,157061836
Alan Rickman,274429837
Simon Pegg,240848472
Stanley Tucci,117362511
Paul Rudd,180699835
Harrison Ford,191981573
Anthony Mackie,181324177
Mickie McGowan,362285655
Marisa Tomei,171767147
Robbie Coltrane,270107812
Jess Harnell,475429824
Michelle Rodriguez,274924432
Emma Watson,518435486
Stellan Skarsg̴rd,169537105
Helena Bonham Carter,196299078
Julie Walters,305513761
Anthony Daniels,748553391
Sigourney Weaver,146406539
Will Smith,252772602
Karen Gillan,396878934
Woody Harrelson,117847561
Tom Hiddleston,469818511
Orlando Bloom,284651111
Jack Angel,324404086
Djimon Hounsou,221050160
Bill Farmer,377621137
Sherry Lynn,348456494
Tyrese Gibson,312109731
Dave Bautista,310431176
Natalie Portman,183572851
Elizabeth Olsen,471901756
Maggie Smith,178851546
Emma Thompson,162442709
William Hurt,141174483
Jacob Batalon,888053029
James Earl Jones,158337112
Brad Pitt,160116864
Josh Brolin,186347530
Danny Mann,485553930
Alfred Molina,122624013
Matt Damon,122194692
Michael Caine,104371381
Geoffrey Rush,210583948
Elizabeth Banks,155878766
Daniel Radcliffe,328301593
Timothy Spall,146965767
Domhnall Gleeson,338688780
Jeff Goldblum,145859500
Tom Felton,323498096
Laraine Newman,399092895
Michael Gambon,170908493
Bruce Willis,74559778
Lupita Nyong'o,551667061
Angela Bassett,168756663
Letitia Wright,514954576
Luke Evans,273874070
Bonnie Hunt,289448652
Ken Jeong,217970408
Ewan McGregor,129868956
John Goodman,99063178
Sebastian Stan,285396497
Steve Carell,204488067
Toby Jones,144130232
Hugh Jackman,187806036
Kristen Wiig,175205326
Matthew Lewis,655222389
Geraldine Somerville,652092751
Cobie Smulders,411643379
Terry Notary,780176969
Josh Herdman,859846713
Owen Wilson,133189245
Rupert Grint,481367213
Chadwick Boseman,640312889
James Phelps,767628735
Oliver Phelps,852920817
Jason Isaacs,147454621
Devon Murray,766753233
Bonnie Wright,765341040
John Cleese,146572055
Robin Williams,101519300
Carrie Fisher,199483265
Jim Broadbent,108163479
Alec Baldwin,85814283
Jack Black,137159872
Mark Williams,502693337
Julie Andrews,267923623
Cameron Diaz,191859197
Ciaran Hinds,138439557
Brendan Gleeson,128752000
Martin Klebba,173266105
Seth Rogen,176544747
Bryce Dallas Howard,336878939
Giovanni Ribisi,168210435
Michael Papajohn,183907340
Kurt Russell,152793193
Christopher Lee,166444288
Oscar Isaac,186976294
Winston Duke,907990286
Judi Dench,144605022
Jim Cummings,190191604
