name,average_revenue_per_movie
Steven Spielberg,167925679
James Cameron,397914941
Anthony Russo,569928047
Joe Russo,506602708
David Yates,446313109
Peter Jackson,292228599
Michael Bay,259174091
Christopher Nolan,223028539
Ridley Scott,85805614
Roland Emmerich,176507508
James Wan,213534568
Pierre Coffin,622128346
Tim Burton,129522126
J.J. Abrams,408347755
Jon Favreau,270830671
Jon Watts,476782965
Bryan Singer,235330313
Chris Columbus,129373926
Sam Raimi,154917318
Tsui Hark,208167947
Robert Zemeckis,102510436
Ron Howard,66526974
Carlos Saldanha,312632343
Kaige Chen,240627720
Kyle Balda,719038156
Gore Verbinski,195743205
Sam Mendes,211372361
Brad Bird,338501465
Justin Lin,199489083
Tom McGrath,275479922
Chen Sicheng,315508389
Francis Lawrence,186724588
Zack Snyder,154232722
Joss Whedon,460714584
Chris Renaud,368040236
Jennifer Lee,914019073
Chris Buck,609346048
Dante Lam,227741105
Todd Phillips,163921027
Bill Condon,149834581
Guy Ritchie,109667436
M. Night Shyamalan,122529411
George Lucas,284441196
Eric Darnell,331658270
Colin Trevorrow,329004057
Andrew Stanton,403173832
Shawn Levy,104413387
Andrew Adamson,240882815
Conrad Vernon,202455024
John Lasseter,235812487
F. Gary Gray,101009869
Hao Ning,282691240
Byron Howard,348747013
Matt Reeves,225069615
Barry Sonnenfeld,112262900
Rob Marshall,191984117
Clint Eastwood,34383612
Andy Wachowski,189679434
Martin Campbell,94715195
Pete Docter,331020166
Rich Moore,432886550
Hu Guan,252338044
Jake Kasdan,155715366
David Fincher,113172907
Lee Unkrich,620537449
David Leitch,153853135
Steven Soderbergh,34802040
Jon Turteltaub,110535888
Joseph Kosinski,240334221
Paul W.S. Anderson,92248254
Christopher McQuarrie,239626848
Mike Newell,69559537
Quentin Tarantino,106792365
Rob Minkoff,129222926
Kenneth Branagh,61142198
Juan Antonio Bayona,231187804
James Mangold,87595430
Muye Wen,281625090
Martin Scorsese,36091924
Ang Lee,78303414
Hayao Miyazaki,99316363
Ryan Coogler,270529616
Dean DeBlois,268901710
Raja Gosnell,97755508
James Gunn,131930233
Wu Jing,525820448
Wolfgang Petersen,95394067
Zhang Yimou,52184078
Taika Waititi,94403988
Alfonso CuarÃ³n,115232310
Ruben Fleischer,172590825
Matthew Vaughn,129383862
Mike Mitchell,128706184
Marc Webb,145383845
Tony Scott,63605311
Brett Ratner,84393624
Marc Forster,77682034
John Musker,200094956
Ron Clements,166745797
Peyton Reed,142532562
Joachim Ronnin,498777335
Stephen Chow,142400941
Rob Letterman,142072303
Lana Wachowski,141352479
Steve Martino,245826235
Rian Johnson,160856150
Richard Donner,50052286
Shane Black,190158293
Luc Besson,58624495
Kirk Wise,186701818
Doug Liman,71453179
Chris Weitz,102021642
Brad Peyton,101809384
Xu Zheng,181679652
Jennifer Yuh Nelson,300965476
Chris Miller,296779322
Genndy Tartakovsky,296686889
Joe Johnston,79069167
Edward Zwick,62061821
Peter Berg,72139236
Fan Guo (é­å¸),287624525
Jon M. Chu,78154809
Gareth Edwards,213836509
Jia Ling,841674419
Scott Derrickson,104938387
Stephen Sommers,103452671
Paul Greengrass,82706675
Chris Sanders,202056763
John Woo,57341837
Louis Leterrier,79668370
Robert Rodriguez,32848110
Kelly Asbury,157227340
Jaume Collet-Serra,71432111
Alan Taylor,196288115
Rob Cohen,54844659
Peter Farrelly,47962340
Guillermo del Toro,54137839
Garry Marshall,41236214
Yang Yu,739022963
Baz Luhrmann,104134000
Nancy Meyers,120973292
Raman Hui,360120244
Michael Thurmeier,718443294
Ivan Reitman,47877706
Woody Allen,14619041
Yibai Zhang,141454170
Ryan Fleck,141121893
Joel Schumacher,30655020
Dennis Dugan,46947727
Anna Boden,175848919
Jan De Bont,116462262
Tom Hooper,137885395
Tom Shadyac,85539613
Wes Ball,136521412
Renny Harlin,27144035
Phillip Noyce,39593577
Roger Allers,223991742
Jay Roach,47987033
Sylvester Stallone,83919169
Wong Jing,60328770
Jonathan Liebesman,164077887
Denis Villeneuve,81894752
Simon West,54385926
Antoine Fuqua,29401063
Espen Sandberg,160657975
George Miller,49350067
Chris Williams,213282882
Josh Cooley,213008844
John McTiernan,57846702
Andrew Lau,125907256
Bobby Farrelly,48414072
David Silverman,209031702
John Glen,89130714
Cary Joji Fukunaga,155452463
Paul Verhoeven,47699448
Xue Xiaolu,206333630
