name,average_revenue_per_movie
Kevin Feige,783919613
Kathleen Kennedy,368575177
Jerry Bruckheimer,308146856
David Heyman,410178795
Neal H. Moritz,201226201
Frank Marshall,242637184
Charles Roven,339018416
James Cameron,650161684
Avi Arad,350705075
Janet Healy,687344418
Christopher Meledandri,505201055
Lorenzo di Bonaventura,187216397
Ian Bryce,387181306
Lauren Shuler Donner,211453911
Jon Landau,910391467
Peter Jackson,514319861
J.J. Abrams,357838361
Simon Kinberg,299641922
Brian Grazer,105001550
Fran Walsh,657649773
Amy Pascal,318470796
Joel Silver,138915337
Tom Cruise,473274842
Wyck Godfrey,192381630
Patrick Crowley,540408486
Michael G. Wilson,456250869
Vin Diesel,451171924
Steven Spielberg,181485994
Joe Roth,254689473
Emma Thomas,547737094
Barbara Broccoli,418814373
Bryan Burk,648977049
Don Murphy,398730632
David Barron,469872034
Christopher Nolan,568723647
Scott Rudin,76314365
Jason Blum,54388174
Mary Parent,291518320
Tom DeSanto,691532767
Matt Tolmach,368821249
Arnon Milchan,111434609
Walter F. Parkes,185293549
Eric Fellner,70342304
Peter Chernin,198578051
Dan Lin,214866712
Michael Bay,152835993
Tim Bevan,69127693
Michael Fottrell,631332600
Ridley Scott,111114416
Karen Rosenfelt,231458692
David Ellison,230808904
J.K. Rowling,826557167
Jeffrey Silver,157483746
Peter Safran,117922351
Deborah Snyder,378790651
Jack Giarraputo,164255967
Carolynne Cunningham,628747543
Richard D. Zanuck,234934257
Mark Gordon,187709573
John Davis,101242983
Laura Ziskin,512329525
Colin Wilson,273067069
David Hoberman,110692795
Laurie MacDonald,208087085
Beau Flynn,140523256
Nina Jacobson,248083679
Graham King,149268120
Jon Kilik,163412455
Todd Phillips,310980985
Hutch Parker,338913254
Thomas Tull,223559495
Barrie M. Osborne,410623634
Todd Lieberman,130578038
Lionel Wigram,325689598
Darla Anderson,650349878
Jon Jashni,248550686
Michael De Luca,123916076
James Lassiter,187189615
Jenno Topping,158999537
Steve Starkey,197286584
Peter Del Vecho,628723625
Roy Lee,78295080
Hiram Garcia,221294242
Chris Columbus,178857180
Shawn Levy,84107300
Scott Stuber,120886377
Zane Weiner,750025481
Clint Eastwood,129460866
Dylan Clark,197532701
Dwayne Johnson,184090423
Clark Spencer,412170879
Clayton Townsend,180095345
Lori Forte,410177540
Will Smith,190365951
Adam Sandler,118483369
Gerald R. Molen,271454295
Mark Johnson,95790086
Robert Zemeckis,127711283
Akiva Goldsman,116407306
Ron Howard,89188495
Douglas Wick,167050482
Jonas Rivera,885855045
Roger Birnbaum,115250209
Jon Favreau,882699589
Christopher McQuarrie,527726271
Rick McCallum,432583291
Larry Franco,229021878
Judd Apatow,80181384
Aron Warner,354534386
Suzanne Todd,130502619
Chris Morgan,302789976
Dana Goldberg,172615475
Mireille Soria,402597076
James Wan,104607027
Robert De Niro,240041111
Steve Tisch,96013540
Andrew Form,130346066
Brad Fuller,130118261
Bonnie Arnold,467931740
Sam Mercer,193949202
Gary Goetzman,96892609
Marc Platt,62133234
Dean Devlin,254587046
Mark Swift,377932056
Mark Radcliffe,222164332
Michael Barnathan,183490517
Todd Black,68118172
M. Night Shyamalan,181556411
Richard Suckle,311102370
Eric McLeod,271946979
Bradley Cooper,310298679
Ralph Winter,271062596
Basil Iwanyk,67388829
Jennifer Todd,125004153
John C. Donkin,530191877
Allison Shearmur,302840101
Albert R. Broccoli,131928902
Don Hahn,298890145
Barry Mendel,120790300
Alex Kurtzman,254129570
Don Granger,153755646
Marty Bowen,58320369
Ivan Reitman,110155421
Dana Brunetti,219125852
Roberto Orci,246421730
Bryan Singer,276714816
Jay Roach,174912403
Ram Bergman,137098790
Rob Cowan,212315891
Ryan Reynolds,270254836
David Brown,135115138
Dany Garcia,156654644
John Walker,937123226
Michael Mann,155912322
Steve Kloves,466184967
Paula Wagner,231550951
Jane Rosenthal,130805673
Melissa Cobb,605972968
Mark Canton,74416578
Brian Oliver,110861786
Matthew Vaughn,126299080
Will Ferrell,58550586
Adam McKay,70260704
Lawrence Gordon,125388579
Brad Pitt,69687086
Bill Block,79134298
Jack Rapke,123598390
Jon Peters,172677404
Lucy Fisher,143849883
Dede Gardner,53921824
Mace Neufeld,155868379
Tom Rosenberg,70795933
Broderick Johnson,93994929
Sean Daniel,140790636
Robert Lorenz,139896733
Stacey Sher,83589968
Rick Jaffa,417805758
Amanda Silver,417805758
Don Simpson,238515421
Jerry Weintraub,185370071
Jason Blumenthal,78717724
Karen Gilchrist,1647733638
Dan Goldberg,329341845
Nancy Meyers,136798121
John H. Williams,269030373
William Teitler,159668056
Paul W.S. Anderson,159476795
Robert Kulzer,88361999
Susan Downey,131158276
Bruce Anderson,392088720
Michelle Murdocca,391876519
Duncan Henderson,195708803
Arnold Kopelson,173651348
Todd Garner,74250593
Jeremy Bolt,110910372
Harald Kloser,306631157
Belen Atienza,255286135
Michael Schaefer,191204923
Stephenie Meyer,380262952
Gil Netter,125829543
Gale Anne Hurd,125657307
Donald De Line,149796625
Mark Huffam,136144377
Alex Garcia,124379981
