name,average_revenue_per_movie
Warner Bros.,162941857.27906978
Universal Pictures,157040792.53114754
Columbia Pictures,167086695.5477941
Walt Disney Pictures,272483151.877551
Paramount Pictures,148334067.32365146
Marvel Studios,526919491.32894737
20th Century Fox,231520860.38053098
New Line Cinema,126978432.6884058
Relativity Media,130299159.33050847
DreamWorks Pictures,158587961.25882354
Legendary Pictures,258194778.46969697
Amblin Entertainment,236858434.0
Dune Entertainment,237090622.2857143
Disney-Pixar,481397988.0967742
DreamWorks Animation,343804195.63829786
Regency Enterprises,88594865.7755102
Village Roadshow Productions,164997912.43023255
Metro-Goldwyn-Mayer Pictures,104700029.10606061
Lucasfilm,484992656.2083333
Lionsgate,48157049.152777776
Touchstone Pictures,120536705.35714285
Walt Disney Animation Studios,395413842.0740741
RatPac Entertainment,217234866.97826087
Heyday Films,436629694.3076923
Summit Entertainment,117627751.56944445
TSG Entertainment,212140466.79545453
Illumination Entertainment,474405057.64705884
Jerry Bruckheimer,351328904.8095238
Bad Robot,324395109.5
Twentieth Century Fox,125159110.71428572
Original Film,216884685.775
Imagine Entertainment,92673774.32786885
Blumhouse,42093666.544
Skydance Productions,232961309.625
di Bonaventura Pictures,239109862.53125
Fox 2000 Pictures,113799519.51923077
Silver Pictures,132116755.79069768
Working Title Films,79004382.97029702
Perfect World Pictures,153598569.97619048
1492 Pictures,255893372.25
The Kennedy/Marshall Company,176730746.8181818
Tri-Star Pictures,72865759.296875
Wingnut Films,514319861.21428573
Happy Madison,102830691.55263157
Spyglass Entertainment,146478638.6
Temple Hill Entertainment,128193288.85365854
Scott Rudin Productions,87143426.52272727
Eon Productions,284605919.04
Syncopy,557128590.1111112
Screen Gems,62925853.396825396
Castle Rock Entertainment,56571666.1754386
PDI,537750814.1111112
New Regency,71702715.06349206
Atlas Entertainment,290497071.5
Chernin Entertainment,171386101.44444445
Donnersâ Company,272137132.9411765
Revolution Studios,87131039.8918919
Sony Pictures Animation,209668728.54166666
Hasbro Studios,291308267.11764705
Color Force,267167038.46153846
Pascal Pictures,352370738.38461536
Overbrook Entertainment,178717239.63636363
Davis Entertainment,85770757.61702128
Lightstorm Entertainment,706214977.375
Scott Free Films,84267333.2264151
Walden Media,118427131.37142856
Zancuk Company,312000418.0769231
Fairview Entertainment,671744171.3333334
Sunswept Entertainment,264518809.33333334
Chris Meledandri,532172405.28571427
Ingenious Media,51943169.31034483
Participant Media,32097913.04950495
Vertigo Entertainment,82290060.23684211
Brian Grazer Productions,162714183.54545453
Mandeville Films,119588891.25925925
Blue Sky Studios,389363559.38461536
Ingenious Film Partners,322366885.875
Don Simpson,496285733.1666667
LStar Capital,154005722.625
Jerry Bruckheimer Films,360382505.8
Focus Features,36565690.11956522
Cruel and Unusual Films,651721534.3333334
Fox Searchlight Pictures,40514991.1
